,Name,Ranking,Model predicted ranking,Peer Assessment,Model predicted peer assessment
0,Williams College,1,-28.0,4.7,4.52
1,Amherst College,2,-24.0,4.6,4.47
2,Swarthmore College,3,-21.0,4.6,4.5
3,Wellesley College,3,-9.0,4.5,4.34
4,Pomona College,5,-18.0,4.5,4.48
5,Bowdoin College,6,-4.0,4.4,4.28
6,Carleton College,7,12.0,4.3,4.14
7,Claremont McKenna College,7,20.0,4.3,4.01
8,Middlebury College,7,14.0,4.3,4.09
9,Washington and Lee University,10,-7.0,3.9,4.32
10,Colby College,11,15.0,4.1,4.15
11,Haveford College,11,-7.0,4.2,4.43
12,Smith College,11,7.0,4.3,4.11
13,Grinnel College,14,13.0,4.2,4.06
14,Hamliton College,14,9.0,3.9,4.18
15,Colgate College,17,15.0,4.1,4.1
16,United State Naval Academy,17,57.0,4.3,3.56
17,Wesleyan University,17,41.0,4.1,3.7
18,Bates College,21,59.0,4.1,3.58
20,Harvey Mudd College,23,-5.0,4.4,4.31
21,University of Richmond,23,38.0,4.0,3.71
22,Barnard College,25,13.0,4.0,4.18
23,Macalester College,25,36.0,4.0,3.84
24,Bryn Mawr College,27,38.0,4.1,3.76
25,College of the Holy Cross,27,46.0,3.6,3.72
26,Colorado College,27,23.0,3.9,4.05
27,Kenyon College,27,59.0,3.9,3.58
28,Soka University of America,27,36.0,2.6,3.52
29,Mount Holyoke College,32,56.0,3.9,3.52
30,Oberlin College,33,47.0,3.9,3.64
31,Scripps College,33,56.0,3.9,3.69
32,Bucknell University,35,44.0,3.9,3.7
33,Pitzer College,35,49.0,3.8,3.71
34,Thomas Aquinas College,35,55.0,3.9,3.77
35,Franklin and Marshall College,38,48.0,3.7,3.69
36,Lafayette College,39,55.0,3.6,3.58
37,Occidental College,39,59.0,3.8,3.57
38,Skidmore College,39,73.0,3.6,3.27
39,United States Air Force Academy,39,73.0,4.2,3.39
40,Denison University,43,31.0,3.5,3.85
41,The University of the South,43,86.0,3.6,3.15
42,Union College,45,45.0,3.4,3.74
43,Berea College,46,85.0,3.5,3.1
44,Connecticut College,46,60.0,3.6,3.49
45,DePauw University,46,56.0,3.5,3.5
46,Dickinson College,46,71.0,3.5,3.34
47,Furman University,46,72.0,3.6,3.36
48,Trinity College,46,60.0,3.6,3.47
49,Whitman College,46,47.0,3.5,3.63
50,Centre College,53,56.0,3.5,3.61
51,Gettysburg College,53,48.0,3.5,3.71
52,Rhodes College,53,60.0,3.6,3.56
53,Wabash College,53,86.0,3.4,3.14
54,Spelman College,53,122.0,3.7,2.71
55,Agnes Scott College,58,95.0,3.4,3.05
56,Lawrence University,58,73.0,3.4,3.24
57,St. Lawrence University,58,93.0,3.3,3.17
58,Wheaton College,58,81.0,3.2,3.34
59,Bard College,62,89.0,3.5,3.18
60,St. Olaf College,62,88.0,3.7,3.27
62,St. John College,64,86.0,3.4,3.0
63,College of Wooster,66,78.0,3.4,3.36
64,Knox College,66,100.0,3.2,3.06
65,Cornell College,68,123.0,3.1,2.81
67,Sarah Lawrence College,68,97.0,3.4,3.06
68,Willamette University,68,79.0,3.2,3.36
69,Hobart and William Smith College,72,91.0,3.3,3.14
70,Kalamazoo College,72,74.0,3.4,3.53
71,Lewis & Clark College,72,102.0,3.4,3.12
72,Muhlenberg College,72,83.0,3.1,3.25
73,St. John_s College,72,57.0,3.3,3.18
74,Transylvania University,72,99.0,2.9,3.06
75,Virginia Military Institute,72,93.0,3.2,3.01
76,Wofford College,72,85.0,3.2,3.21
77,Earlham College,80,66.0,3.3,3.39
78,Illinois Wesleyan University,80,103.0,3.1,3.05
79,Allegheny College,82,103.0,3.2,3.01
80,Beloit College,82,121.0,3.1,2.72
81,College of St. Benedict,82,117.0,3.0,2.95
82,College of the Atlantic,82,79.0,2.8,3.23
