,Name,Actual Ranking,Model predicted ranking,Model predicted ranking by log_endowment_per_capita,Actual Peer Assessment,Model predicted peer assessment,Model predicted peer_assessment by log_endowment_per_capita
0,Williams College,1,-19.0,17.0,4.7,4.53,3.93
1,Amherst College,2,-16.0,16.0,4.6,4.51,3.95
2,Swarthmore College,3,-17.0,14.0,4.6,4.55,3.96
3,Wellesley College,3,-5.0,29.0,4.5,4.42,3.81
4,Pomona College,5,-15.0,14.0,4.5,4.54,3.97
5,Bowdoin College,6,-2.0,28.0,4.4,4.39,3.82
6,Carleton College,7,5.0,50.0,4.3,4.34,3.59
7,Claremont McKenna College,7,2.0,38.0,4.3,4.33,3.72
8,Middlebury College,7,5.0,50.0,4.3,4.31,3.59
9,Washington and Lee University,10,-4.0,34.0,3.9,4.41,3.76
10,Colby College,11,13.0,51.0,4.1,4.3,3.58
11,Haveford College,11,-3.0,52.0,4.2,4.49,3.57
12,Smith College,11,9.0,37.0,4.3,4.24,3.73
13,Grinnel College,14,6.0,19.0,4.2,4.27,3.92
14,Hamliton College,14,8.0,44.0,3.9,4.33,3.66
15,Colgate College,17,13.0,60.0,4.1,4.26,3.49
16,United State Naval Academy,17,22.0,109.0,4.3,4.05,2.98
17,Wesleyan University,17,14.0,57.0,4.1,4.11,3.52
18,Bates College,21,26.0,78.0,4.1,4.06,3.31
20,Harvey Mudd College,23,-3.0,55.0,4.4,4.42,3.54
21,University of Richmond,23,19.0,43.0,4.0,4.09,3.66
22,Barnard College,25,15.0,85.0,4.0,4.29,3.23
23,Macalester College,25,20.0,56.0,4.0,4.15,3.54
24,Bryn Mawr College,27,18.0,43.0,4.1,4.12,3.66
25,College of the Holy Cross,27,19.0,66.0,3.6,4.13,3.42
26,Colorado College,27,11.0,57.0,3.9,4.29,3.53
27,Kenyon College,27,32.0,68.0,3.9,4.02,3.41
28,Soka University of America,27,8.0,-10.0,2.6,4.02,4.21
29,Mount Holyoke College,32,32.0,57.0,3.9,3.95,3.52
30,Oberlin College,33,32.0,57.0,3.9,3.98,3.52
31,Scripps College,33,24.0,57.0,3.9,4.16,3.52
32,Bucknell University,35,25.0,69.0,3.9,4.06,3.4
33,Pitzer College,35,32.0,87.0,3.8,4.06,3.21
34,Thomas Aquinas College,35,41.0,111.0,3.9,4.05,2.96
35,Franklin and Marshall College,38,30.0,79.0,3.7,4.03,3.3
36,Lafayette College,39,25.0,58.0,3.6,4.05,3.51
37,Occidental College,39,36.0,71.0,3.8,3.97,3.37
38,Skidmore College,39,36.0,83.0,3.6,3.83,3.25
39,United States Air Force Academy,39,39.0,136.0,4.2,3.89,2.7
40,Denison University,43,30.0,54.0,3.5,4.06,3.55
41,The University of the South,43,49.0,69.0,3.6,3.74,3.4
42,Union College,45,28.0,72.0,3.4,4.08,3.36
43,Berea College,46,60.0,34.0,3.5,3.62,3.76
44,Connecticut College,46,39.0,78.0,3.6,3.9,3.3
45,DePauw University,46,29.0,57.0,3.5,3.95,3.52
46,Dickinson College,46,39.0,76.0,3.5,3.86,3.32
47,Furman University,46,39.0,68.0,3.6,3.87,3.41
48,Trinity College,46,36.0,63.0,3.6,3.91,3.46
49,Whitman College,46,23.0,53.0,3.5,4.04,3.56
50,Centre College,53,35.0,69.0,3.5,3.99,3.39
51,Gettysburg College,53,34.0,85.0,3.5,4.02,3.23
52,Rhodes College,53,37.0,77.0,3.6,3.97,3.31
53,Wabash College,53,48.0,52.0,3.4,3.74,3.57
54,Spelman College,53,58.0,77.0,3.7,3.57,3.32
55,Agnes Scott College,58,64.0,70.0,3.4,3.61,3.39
56,Lawrence University,58,44.0,69.0,3.4,3.76,3.4
57,St. Lawrence University,58,52.0,89.0,3.3,3.77,3.19
58,Wheaton College,58,38.0,89.0,3.2,3.93,3.19
59,Bard College,62,63.0,106.0,3.5,3.67,3.01
60,St. Olaf College,62,45.0,77.0,3.7,3.88,3.31
62,St. John College,64,54.0,68.0,3.4,3.58,3.4
63,College of Wooster,66,55.0,80.0,3.4,3.8,3.28
64,Knox College,66,68.0,89.0,3.2,3.63,3.19
65,Cornell College,68,89.0,103.0,3.1,3.44,3.04
67,Sarah Lawrence College,68,69.0,107.0,3.4,3.58,3.0
68,Willamette University,68,61.0,93.0,3.2,3.76,3.15
