Name,Ranking,usnews.com link,Tuition and Fees,Room and Board,Total Enrollment,School Type,Year Founded,Religiious Affiliation,Academic Calendar,Setting,2018 Endowment,Median starting salary of alumni,Acceptance_rate,student faculty ratio,Student_faculty_ratio,4-year graduation rate,Class sizes <20,Class sizes 20-49,Class sizes >50,Male,Female,,National Liberal Arts Colleges,Best Undergraduate Teaching,Best Value Schools,Most Innovative Schools,Top Performers on Social Mobility,First-Year Experiences,Learning Communities,Senior Capstone,Writing in the Disciplines,Study Abroad,Undergraduate Research/Creative Projects,,Average annual cost,Estimated cost of books and supplies,Estimated transportation cost,Estimated personal expenses,Average need based scholarship or grant award,Students who applied for need-based financial aid,Students determined to have financial need,Students whose need was fully met,Average need-based financial aid package (freshman),Students who received need-based financial aid,Average need-based scholarship or grant award (freshmen),Students who received need-based scholarship or grant aid (freshmen),Average need-based self-help aid award (freshmen),Students who received need-based self-help aid (freshmen),"Average need-based loan (excluding PLUS, unsubsidized, or other private loans)",Average percent of need met,Average non-need-based scholarship or grant award (freshmen),Average non-need-based athletic scholarship or grant award (freshmen),Student-faculty ratio,International full-time,International part-time,Ph.D or terminal degree,Minority full-time,Minority part-time,Full-time faculty,Part-time faculty,Full-time faculty male,Full-time faculty female,Part-time faculty male,Part-time faculty female,Number of majors,Freshmen_retention,International student retention,2017-2018 Employed Graduates Full-time,,Total undergraduate enrollment,Undergraduates who are first generation,Out-of-state students,International students,Registered clubs and organizations,Number of sports,,Peer_assessment,First_year_top_ten,Social Mobility rank
Williams College,1,https://www.usnews.com/best-colleges/williams-college-2229,"$57,280",14990,2127,"Private, Coed",1793,None,04-01-04,Rural,"$2,600,000,000.00","$58,900",13%,7,7:01,90.00%,77.40%,20.50%,2%,52%,48%,,1,16,1,35,90,31,,20,13,,21,,"$22,667",$800,$650,"$1,800","$56,933",61%,50%,100%,"$59,369",50%,"$56,933",50%,"$2,927",42%,"$2,693",100%,N/A,N/A,7:01,4%,3%,97%,27%,18%,296,61,55.40%,44.60%,44.30%,55.70%,39,98%,100%,42%,,2073,22%,86%,7.80%,154,17,,4.7,89%,90
Amherst College,2,https://www.usnews.com/best-colleges/amherst-college-2115,"$58,640",15310,1855,"Private, Coed",1821,None,Semester,Rural,"$2,400,000,000.00","$58,700",13%,7,7:01,85.00%,71%,26.00%,4%,50%,50%,,2,12,3,18,99,7,3,11,17,,14,,"$22,463","$1,000",N/A,"$1,800","$58,880",73%,62%,100%,"$60,141",62%,"$58,880",62%,"$1,984",51%,$363,100%,N/A,N/A,7:01,6%,0%,94%,23%,17%,236,64,50%,50%,60.90%,39.10%,39,97%,97%,N/A,,1855,21%,87%,8.10%,177,12,,4.6,88%,99
Swarthmore College,3,https://www.usnews.com/best-colleges/swarthmore-college-3370,"$54,656",16088,1559,"Private, Coed",1864,None,Semester,Suburban,"$2,100,000,000.00","$60,200",9%,8,8:01,87.00%,73.60%,24%,3%,49%,51%,,3,9,4,30,148,22,,,18,,23,,"$20,511","$1,400",$400,"$1,380","$53,395",68%,55%,100%,"$55,074",55%,"$53,395",55%,"$1,679",54%,N/A,100%,"$43,252",N/A,8:01,3%,7%,100%,23%,26%,198,27,51.50%,48.50%,48.10%,51.90%,49,98%,95%,N/A,,1559,27%,87%,13.20%,154,8,,4.6,90%,148
Wellesley College,3,https://www.usnews.com/best-colleges/wellesley-college-2224,"$56,052",17096,2534,"Private, Women's college",1870,None,Semester,Suburban,"$2,100,000,000.00","$53,800",20%,8,8:01,84.00%,67.10%,32.50%,0%,2%,98%,,3,25,8,,113,,,,18,,,,"$23,188",$800,"$2,000","$1,250","$52,881",72%,60%,100%,"$54,894",60%,"$52,881",60%,"$3,694",56%,"$1,788",100%,N/A,N/A,8:01,3%,6%,93%,24%,19%,300,47,38%,62%,25.50%,74.50%,54,96%,99%,63%,,2534,17%,86%,13.60%,153,8,,4.5,83%,113
Pomona College,5,https://www.usnews.com/best-colleges/pomona-college-1173,"$54,762",17218,1679,"Private, Coed",1887,None,Semester,Suburban,"$2,300,000,000.00","$57,400",8%,8,8:01,89.00%,70.40%,29%,1%,48%,52%,,5,25,2,50,113,58,,,,,34,,"$15,840","$1,000",$600,"$1,500","$55,542",67%,51%,100%,"$57,633",51%,"$55,542",51%,"$2,091",51%,N/A,100%,N/A,N/A,8:01,1%,0%,98%,33%,31%,186,49,56.50%,43.50%,36.70%,63.30%,48,97%,100%,N/A,,1679,30%,74%,11.40%,227,9,,4.5,91%,113
Bowdoin College,6,https://www.usnews.com/best-colleges/bowdoin-college-2038,"$56,350",15360,1828,"Private, Coed",1794,Other,Semester,Suburban,"$1,600,000,000.00","$58,300",10%,9,9:01,88%,70.00%,28.10%,2%,49%,51%,,6,5,12,21,165,19,,,18,,27,,"$22,810",N/A,N/A,N/A,"$48,856",61%,51%,100%,"$50,611",51%,"$48,856",51%,"$1,796",49%,N/A,100%,"$1,000",N/A,9:01,5%,0%,100%,16%,9%,199,32,44.70%,55.30%,59.40%,40.60%,44,96%,91%,N/A,,1828,19%,89%,5.90%,130,18,,4.4,80%,165
Carleton College,7,https://www.usnews.com/best-colleges/carleton-college-2340,"$57,111",14658,2097,"Private, Coed",1866,None,Trimester,Rural,"$878,500,000.00","$53,300",20%,9,9:01,88.00%,69.80%,29.90%,0%,50%,50%,,7,1,32,9,194,43,,12,8,14,18,,"$27,898",$866,$775,$865,"$43,187",77.00%,55%,100%,"$49,191",55%,"$43,187",55%,"$5,581",54%,"$4,254",100%,"$4,174","N/A

",9:01,0%,4%,97%,26%,12%,210,51,51.90%,48.10%,45.10%,54.90%,34,96%,98%,32%,,2097,16%,74%,11%,200,14,,4.3,79%,194
Claremont McKenna College,7,https://www.usnews.com/best-colleges/claremont-mckenna-college-1170,"$56,475",17300,1327,"Private, Coed",1946,None,Semester,Suburban,"$835,300,000.00","$63,900",9%,8,8:01,82.00%,81.40%,16.80%,2%,52%,48%,,7,60,23,35,194,76,,,,,,,"$26,933",N/A,N/A,N/A,"$55,880",48%,40%,100%,"$59,734",40%,"$55,880",40%,"$4,672",37%,"$3,735",100%,"$13,355",N/A,8:01,3%,0%,99%,19%,41%,157,22,63.10%,36.90%,40.90%,59.10%,37,95%,92%,N/A,,1324,N/A,54%,16.10%,347,18,,4.3,78%,194
Middlebury College,7,https://www.usnews.com/best-colleges/middlebury-college-3691,"$56,216",16032,2626,"Private, Coed",1800,None,04-01-04,Rural,"$1,100,000,000.00","$55,100",17%,8,8:01,83.00%,66.10%,32.80%,1%,47%,53%,,7,25,15,35,185,76,20,,10,6,,,"$26,933",N/A,N/A,N/A,"$55,880",48%,40%,100%,"$59,734",40%,"$55,880",40%,"$4,672",37%,"$3,735",100%,"$13,355",N/A,8:01,3%,0%,99%,19%,41%,157,22,63.10%,36.90%,40.90%,59.10%,37,95%,92%,N/A,,1324,N/A,54%,16.10%,347,18,,4.3,78%,194
Washington and Lee University,10,https://www.usnews.com/best-colleges/washington-and-lee-3768,"$54,830",14845,2223,"Private, Coed",1749,None,04-04-01,Rural,"$1,600,000,000.00","$59,800",21%,8,8:01,92.00%,74.70%,25%,0%,50%,50%,,10,,19,,194,,,,,,,,"$24,761","$2,010",N/A,"$2,215","$49,195",56%,50%,100%,"$56,056",50%,"$49,195",50%,"$1,577",32%,$543,100%,"$45,742",N/A,8:01,1%,1%,95%,13%,13%,242,68,60.70%,39.30%,61.80%,38.20%,37,96%,100%,73%,,1829,N/A,84%,3.80%,162,13,,3.9,83%,194
